"","...1","Plot","age","id_observation","id_releve","code_perso","date_releve_deb","x_l93","y_l93","lon_wgs84","lat_wgs84","lieudit","alti_calc","rec_total_pl","rec_arbu_pl","rec_sarb_pl","rec_herba_pl","rec_crypto_pl","substr_roch_pl","substr_bloc_pl","substr_cail_pl","substr_terr_pl","substr_grav_pl","substr_sabl_pl","substr_liti_pl","nom_cite","cd_nom","nom_complet","cd_ref","nom_reconnu_ss_auteur","nom_reconnu","famille","recouvrement_sp","hauteur_veg","facilitation","BSC","compet","nurse","reprod","comment","meta_comm","Site","ageChronoG","ageChronoG2","Vielle_repro"
"1127",188,"S2-13",27,24793052,8659369,"Band : 2","7/22/2020",949045.88,6457129.69,6.17089,45.16846,"Glacier de Saint-Sorlin",2684,"<5% (1%)",NA,NA,NA,NA,">75% (99%)","5-10% (5%)","10-25% (10%)",NA,"25-50% (30%)","50-75% (54%)",NA,"Sedum atratum L., 1763",122124,"Sedum atratum L., 1763",122124,"Sedum atratum","Sedum atratum L., 1763","Crassulaceae","+","1",NA,NA,NA,NA,"0",NA,"ROCVEG : S2-13 ; Band : 2 ; Time : 11:43 ; Soil crust : + ; Moss : + ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA; d<e9>plac<e9>","Saint Sorlin","19-36 yrs","20-30 yrs",NA
"1128",188,"T27",20,33524714,10401892,"Band : 1985-2003","7/12/2019",1007868.99,6552158.14,6.9796333,45.99932,"Glacier du Tour",2484,"5-10% (5%)",NA,NA,NA,NA,">75% (80%)",NA,"10-25% (20%)",NA,"10-25% (10%)",NA,NA,"Leucanthemopsis alpina (L.) Heywood, 1975",105765,"Leucanthemopsis alpina (L.) Heywood, 1975",159722,"Leucanthemopsis alpina subsp. alpina","Leucanthemopsis alpina subsp. alpina (L.) Heywood, 1975","Asteraceae","0.1","2",NA,NA,NA,NA,NA,NA,"ROCVEG : T27 ; Band : 1985-2003 ; Time : NA ; Soil crust : 2% ; Moss : 2% ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Tour","19-36 yrs","13-20 years",NA
"1129",189,"B2_07",11.5,34901028,10971335,"Band : B2","7/19/2019",968650.98,6432012.72,6.406418362,44.93515627,"Glacier Blanc",2462,NA,"<5% (0%)","<5% (0%)","10-25% (10%)","<5% (1%)",NA,"5-10% (8%)","25-50% (44%)",NA,"25-50% (30%)","<5% (0%)","<5% (0%)","Adenostyles leucophylla",80190,"Adenostyles leucophylla (Willd.) Rchb., 1831",80190,"Adenostyles leucophylla","Adenostyles leucophylla (Willd.) Rchb., 1831","Asteraceae","0,2",NA,NA,NA,NA,NA,NA,NA,"Mousses BSC : 1 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 8 ; Cailloux : 44 ; Graviers : 30 ; Sable : 0 ; Liti<e8>re : 0 ; Mousses humides : 0 ; Herbac<e9>es : 10 ; Ligneux tr<e8>s bas : 0 ; Ligneux bas : 0 ; D<e9>glaciation : 2007 ; Age : 12","Glacier Blanc","7-12 years","7-13 years",NA
"1130",189,"GB3-01",23.5,31299801,9373264,"Band : 1985-2003","7/30/2019",983755.548,6474617.865,6.622446004,45.31234323,"Glacier de G<e9>broulaz",2602,"10-25% (10%)",NA,NA,NA,NA,">75% (89%)","50-75% (58%)","25-50% (28%)",NA,"<5% (3%)",NA,NA,"Geum reptans L.",100214,"Geum reptans L., 1753",100214,"Geum reptans","Geum reptans L., 1753","Rosaceae","2","10",NA,NA,NA,"1","1",NA,"ROCVEG : GB3-01 ; Band : 1985-2003 ; Time : 08:38 ; Soil crust : 1% ; Moss : 1% ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Gebroulaz","19-36 yrs","20-30 yrs",NA
"1131",189,"O3",95,36722611,12123303,"Band : 1985-2001","8/28/2020",1015058.87,6552714.09,7.07278,46.00102,"Glacier d'Orny",NA,"10-25% (12%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leucanthemopsis alpina (L.) Heywood, 1975",105765,"Leucanthemopsis alpina (L.) Heywood, 1975",105765,"Leucanthemopsis alpina","Leucanthemopsis alpina (L.) Heywood, 1975","Asteraceae","+","1",NA,NA,NA,NA,"1",NA,"ROCVEG : O3 ; Band : 1985-2001 ; Time : 13:10 ; Soil crust : 2 ; Moss : 100 ; Cyanobact : 0 ; Lichen : 0 ; BSC : NA ; Photo number : NA","Orny","36-100 yrs","30-120 yrs",NA
"1132",189,"P22",109,33522281,10400936,"Band : 1985-2003","7/8/2019",1000846.21,6540578.27,6.88165,45.89832,"Glacier des P<e9>lerins",2180,"50-75% (55%)",NA,NA,NA,NA,"25-50% (38%)","10-25% (14%)","10-25% (14%)",NA,"5-10% (5%)","5-10% (5%)",NA,"Luzula alpinopilosa (Chaix) Breistr., 1947",106813,"Luzula alpinopilosa (Chaix) Breistr., 1947",106813,"Luzula alpinopilosa","Luzula alpinopilosa (Chaix) Breistr., 1947","Juncaceae","8","20",NA,NA,NA,NA,NA,NA,"ROCVEG : P22 ; Band : 1985-2003 ; Time : NA ; Soil crust : 7% ; Moss : 7% ; Cyanobact : 0% ; Lichen : 0% ; BSC : NA ; Photo number : NA","Pelerins","LIA - Control","30-120 yrs",NA
"1133",189,"S2-13",27,24793054,8659369,"Band : 2","7/22/2020",949045.88,6457129.69,6.17089,45.16846,"Glacier de Saint-Sorlin",2684,"<5% (1%)",NA,NA,NA,NA,">75% (99%)","5-10% (5%)","10-25% (10%)",NA,"25-50% (30%)","50-75% (54%)",NA,"Saxifraga aizoides L., 1753",120965,"Saxifraga aizoides L., 1753",120965,"Saxifraga aizoides","Saxifraga aizoides L., 1753","Saxifragaceae","+","2",NA,NA,NA,NA,"0",NA,"ROCVEG : S2-13 ; Band : 2 ; Time : 11:43 ; Soil crust : + ; Moss : + ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA; d<e9>plac<e9>","Saint Sorlin","19-36 yrs","20-30 yrs",NA
"1134",189,"T27",20,33524715,10401892,"Band : 1985-2003","7/12/2019",1007868.99,6552158.14,6.9796333,45.99932,"Glacier du Tour",2484,"5-10% (5%)",NA,NA,NA,NA,">75% (80%)",NA,"10-25% (20%)",NA,"10-25% (10%)",NA,NA,"Agrostis rupestris All., 1785",80729,"Agrostis rupestris All., 1785",613160,"Agrostis rupestris var. rupestris","Agrostis rupestris var. rupestris All., 1785","Poaceae","0.1","3",NA,1,NA,NA,NA,NA,"ROCVEG : T27 ; Band : 1985-2003 ; Time : NA ; Soil crust : 2% ; Moss : 2% ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Tour","19-36 yrs","13-20 years",NA
"1135",190,"B2_07",11.5,34901029,10971335,"Band : B2","7/19/2019",968650.98,6432012.72,6.406418362,44.93515627,"Glacier Blanc",2462,NA,"<5% (0%)","<5% (0%)","10-25% (10%)","<5% (1%)",NA,"5-10% (8%)","25-50% (44%)",NA,"25-50% (30%)","<5% (0%)","<5% (0%)","Artemisia umbelliformis",84053,"Artemisia umbelliformis Lam., 1783",84053,"Artemisia umbelliformis","Artemisia umbelliformis Lam., 1783","Asteraceae","0,2",NA,NA,NA,NA,NA,NA,NA,"Mousses BSC : 1 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 8 ; Cailloux : 44 ; Graviers : 30 ; Sable : 0 ; Liti<e8>re : 0 ; Mousses humides : 0 ; Herbac<e9>es : 10 ; Ligneux tr<e8>s bas : 0 ; Ligneux bas : 0 ; D<e9>glaciation : 2007 ; Age : 12","Glacier Blanc","7-12 years","7-13 years",NA
"1136",190,"GB3-01",23.5,31299800,9373264,"Band : 1985-2003","7/30/2019",983755.548,6474617.865,6.622446004,45.31234323,"Glacier de G<e9>broulaz",2602,"10-25% (10%)",NA,NA,NA,NA,">75% (89%)","50-75% (58%)","25-50% (28%)",NA,"<5% (3%)",NA,NA,"Saxifraga bryoides L.",120988,"Saxifraga bryoides L., 1753",120988,"Saxifraga bryoides","Saxifraga bryoides L., 1753","Saxifragaceae","4","3","N",NA,NA,NA,"1",NA,"ROCVEG : GB3-01 ; Band : 1985-2003 ; Time : 08:38 ; Soil crust : 1% ; Moss : 1% ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Gebroulaz","19-36 yrs","20-30 yrs",NA
"1137",190,"O3",95,36722609,12123303,"Band : 1985-2001","8/28/2020",1015058.87,6552714.09,7.07278,46.00102,"Glacier d'Orny",NA,"10-25% (12%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silene exscapa All., 1785",123478,"Silene exscapa All., 1785",141110,"Silene acaulis subsp. bryoides","Silene acaulis subsp. bryoides (Jord.) Nyman, 1878","Caryophyllaceae","6","1",NA,NA,NA,NA,"1",NA,"ROCVEG : O3 ; Band : 1985-2001 ; Time : 13:10 ; Soil crust : 2 ; Moss : 100 ; Cyanobact : 0 ; Lichen : 0 ; BSC : NA ; Photo number : NA","Orny","36-100 yrs","30-120 yrs",NA
"1138",190,"P22",109,33522286,10400936,"Band : 1985-2003","7/8/2019",1000846.21,6540578.27,6.88165,45.89832,"Glacier des P<e9>lerins",2180,"50-75% (55%)",NA,NA,NA,NA,"25-50% (38%)","10-25% (14%)","10-25% (14%)",NA,"5-10% (5%)","5-10% (5%)",NA,"Sempervivum montanum L., 1753",122467,"Sempervivum montanum L., 1753",613604,"Sempervivum montanum var. burnatii","Sempervivum montanum var. burnatii (Wettst. ex Hayek) Praeger, 1932","Crassulaceae","2","2",NA,NA,NA,NA,NA,NA,"ROCVEG : P22 ; Band : 1985-2003 ; Time : NA ; Soil crust : 7% ; Moss : 7% ; Cyanobact : 0% ; Lichen : 0% ; BSC : NA ; Photo number : NA","Pelerins","LIA - Control","30-120 yrs",NA
"1139",190,"S2-13",27,24793055,8659369,"Band : 2","7/22/2020",949045.88,6457129.69,6.17089,45.16846,"Glacier de Saint-Sorlin",2684,"<5% (1%)",NA,NA,NA,NA,">75% (99%)","5-10% (5%)","10-25% (10%)",NA,"25-50% (30%)","50-75% (54%)",NA,"Noccaea rotundifolia (L.) Moench, 1802",109680,"Noccaea rotundifolia (L.) Moench, 1802",109680,"Noccaea rotundifolia","Noccaea rotundifolia (L.) Moench, 1802","Brassicaceae","+","2",NA,NA,NA,NA,"0",NA,"ROCVEG : S2-13 ; Band : 2 ; Time : 11:43 ; Soil crust : + ; Moss : + ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA; d<e9>plac<e9>","Saint Sorlin","19-36 yrs","20-30 yrs",NA
"1140",190,"T27",20,33524716,10401892,"Band : 1985-2003","7/12/2019",1007868.99,6552158.14,6.9796333,45.99932,"Glacier du Tour",2484,"5-10% (5%)",NA,NA,NA,NA,">75% (80%)",NA,"10-25% (20%)",NA,"10-25% (10%)",NA,NA,"Oxyria digyna (L.) Hill, 1768",111960,"Oxyria digyna (L.) Hill, 1768",111960,"Oxyria digyna","Oxyria digyna (L.) Hill, 1768","Polygonaceae","0.1","4",NA,NA,NA,NA,NA,NA,"ROCVEG : T27 ; Band : 1985-2003 ; Time : NA ; Soil crust : 2% ; Moss : 2% ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Tour","19-36 yrs","13-20 years",NA
"1141",191,"B2_07",11.5,34901030,10971335,"Band : B2","7/19/2019",968650.98,6432012.72,6.406418362,44.93515627,"Glacier Blanc",2462,NA,"<5% (0%)","<5% (0%)","10-25% (10%)","<5% (1%)",NA,"5-10% (8%)","25-50% (44%)",NA,"25-50% (30%)","<5% (0%)","<5% (0%)","Epilobium dodonaei subsp. fleischeri",134114,"Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923",134114,"Epilobium dodonaei subsp. fleischeri","Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923","Onagraceae","4",NA,NA,NA,NA,NA,NA,NA,"Mousses BSC : 1 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 8 ; Cailloux : 44 ; Graviers : 30 ; Sable : 0 ; Liti<e8>re : 0 ; Mousses humides : 0 ; Herbac<e9>es : 10 ; Ligneux tr<e8>s bas : 0 ; Ligneux bas : 0 ; D<e9>glaciation : 2007 ; Age : 12","Glacier Blanc","7-12 years","7-13 years",NA
"1142",191,"GB3-01",23.5,31232667,9373264,"Band : 1985-2003","7/30/2019",983755.548,6474617.865,6.622446004,45.31234323,"Glacier de G<e9>broulaz",2602,"10-25% (10%)",NA,NA,NA,NA,">75% (89%)","50-75% (58%)","25-50% (28%)",NA,"<5% (3%)",NA,NA,"Achillea nana L.",79913,"Achillea nana L., 1753",79913,"Achillea nana","Achillea nana L., 1753","Asteraceae","+","10",NA,NA,NA,NA,"1",NA,"ROCVEG : GB3-01 ; Band : 1985-2003 ; Time : 08:38 ; Soil crust : 1% ; Moss : 1% ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Gebroulaz","19-36 yrs","20-30 yrs",NA
"1143",191,"O3",95,36722607,12123303,"Band : 1985-2001","8/28/2020",1015058.87,6552714.09,7.07278,46.00102,"Glacier d'Orny",NA,"10-25% (12%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Campanula cochleariifolia Lam., 1785",87622,"Campanula cochleariifolia Lam., 1785",87622,"Campanula cochleariifolia","Campanula cochleariifolia Lam., 1785","Campanulaceae","+","4",NA,NA,NA,NA,"1",NA,"ROCVEG : O3 ; Band : 1985-2001 ; Time : 13:10 ; Soil crust : 2 ; Moss : 100 ; Cyanobact : 0 ; Lichen : 0 ; BSC : NA ; Photo number : NA","Orny","36-100 yrs","30-120 yrs",NA
"1144",191,"P22",109,33522289,10400936,"Band : 1985-2003","7/8/2019",1000846.21,6540578.27,6.88165,45.89832,"Glacier des P<e9>lerins",2180,"50-75% (55%)",NA,NA,NA,NA,"25-50% (38%)","10-25% (14%)","10-25% (14%)",NA,"5-10% (5%)","5-10% (5%)",NA,"Agrostis rupestris All., 1785",80729,"Agrostis rupestris All., 1785",613160,"Agrostis rupestris var. rupestris","Agrostis rupestris var. rupestris All., 1785","Poaceae","3","5",NA,NA,NA,NA,NA,NA,"ROCVEG : P22 ; Band : 1985-2003 ; Time : NA ; Soil crust : 7% ; Moss : 7% ; Cyanobact : 0% ; Lichen : 0% ; BSC : NA ; Photo number : NA","Pelerins","LIA - Control","30-120 yrs",NA
"1145",191,"S2-14",31,24793007,8659357,"Band : 2","7/22/2020",949156.07,6457009.63,6.17223,45.16734,"Glacier de Saint-Sorlin",2693,"50-75% (60%)",NA,NA,NA,NA,"25-50% (40%)","10-25% (12%)","10-25% (12%)",NA,"10-25% (10%)","5-10% (6%)",NA,"Taraxacum F.H.Wigg., 1780",198226,"Taraxacum F.H.Wigg., 1780",198226,"Taraxacum","Taraxacum F.H.Wigg., 1780","Asteraceae","+","2",NA,NA,NA,NA,"0",NA,"ROCVEG : S1-X ; Band : 1 ; Time :09:52 ; Soil crust : 0 ; Moss : NA ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Saint Sorlin","19-36 yrs","20-30 yrs",NA
"1146",191,"T27",20,33524717,10401892,"Band : 1985-2003","7/12/2019",1007868.99,6552158.14,6.9796333,45.99932,"Glacier du Tour",2484,"5-10% (5%)",NA,NA,NA,NA,">75% (80%)",NA,"10-25% (20%)",NA,"10-25% (10%)",NA,NA,"Sedum alpestre Vill., 1779",122107,"Sedum alpestre Vill., 1779",122107,"Sedum alpestre","Sedum alpestre Vill., 1779","Crassulaceae","0.1","1",NA,NA,NA,NA,NA,NA,"ROCVEG : T27 ; Band : 1985-2003 ; Time : NA ; Soil crust : 2% ; Moss : 2% ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Tour","19-36 yrs","13-20 years",NA
"1147",192,"B2_07",11.5,34901031,10971335,"Band : B2","7/19/2019",968650.98,6432012.72,6.406418362,44.93515627,"Glacier Blanc",2462,NA,"<5% (0%)","<5% (0%)","10-25% (10%)","<5% (1%)",NA,"5-10% (8%)","25-50% (44%)",NA,"25-50% (30%)","<5% (0%)","<5% (0%)","Imperatoria ostruthium",103578,"Imperatoria ostruthium L., 1753",103578,"Imperatoria ostruthium","Imperatoria ostruthium L., 1753","Apiaceae","0,2",NA,NA,NA,NA,NA,NA,NA,"Mousses BSC : 1 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 8 ; Cailloux : 44 ; Graviers : 30 ; Sable : 0 ; Liti<e8>re : 0 ; Mousses humides : 0 ; Herbac<e9>es : 10 ; Ligneux tr<e8>s bas : 0 ; Ligneux bas : 0 ; D<e9>glaciation : 2007 ; Age : 12","Glacier Blanc","7-12 years","7-13 years",NA
"1148",192,"GB3-01",23.5,31232670,9373264,"Band : 1985-2003","7/30/2019",983755.548,6474617.865,6.622446004,45.31234323,"Glacier de G<e9>broulaz",2602,"10-25% (10%)",NA,NA,NA,NA,">75% (89%)","50-75% (58%)","25-50% (28%)",NA,"<5% (3%)",NA,NA,"Anthoxanthum alpinum A. & D. L<f6>ve",131446,"Anthoxanthum odoratum subsp. nipponicum (Honda) Tzvelev, 1967",82914,"Anthoxanthum alpinum","Anthoxanthum alpinum <c1>.L<f6>ve & D.L<f6>ve, 1948","Poaceae","+","15",NA,NA,NA,NA,"1",NA,"ROCVEG : GB3-01 ; Band : 1985-2003 ; Time : 08:38 ; Soil crust : 1% ; Moss : 1% ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Gebroulaz","19-36 yrs","20-30 yrs",NA
"1149",192,"O3",95,36722603,12123303,"Band : 1985-2001","8/28/2020",1015058.87,6552714.09,7.07278,46.00102,"Glacier d'Orny",NA,"10-25% (12%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jacobaea incana (L.) Veldkamp, 2006",610642,"Jacobaea incana (L.) Veldkamp, 2006",610642,"Jacobaea incana","Jacobaea incana (L.) Veldkamp, 2006","Asteraceae","+","3",NA,NA,NA,NA,"1",NA,"ROCVEG : O3 ; Band : 1985-2001 ; Time : 13:10 ; Soil crust : 2 ; Moss : 100 ; Cyanobact : 0 ; Lichen : 0 ; BSC : NA ; Photo number : NA","Orny","36-100 yrs","30-120 yrs",NA
"1150",192,"P22",109,33522290,10400936,"Band : 1985-2003","7/8/2019",1000846.21,6540578.27,6.88165,45.89832,"Glacier des P<e9>lerins",2180,"50-75% (55%)",NA,NA,NA,NA,"25-50% (38%)","10-25% (14%)","10-25% (14%)",NA,"5-10% (5%)","5-10% (5%)",NA,"Huperzia selago (L.) Bernh. ex Schrank & Mart., 1829",103034,"Huperzia selago (L.) Bernh. ex Schrank & Mart., 1829",103034,"Huperzia selago","Huperzia selago (L.) Bernh. ex Schrank & Mart., 1829","Lycopodiaceae","0.1","3",NA,NA,NA,NA,NA,NA,"ROCVEG : P22 ; Band : 1985-2003 ; Time : NA ; Soil crust : 7% ; Moss : 7% ; Cyanobact : 0% ; Lichen : 0% ; BSC : NA ; Photo number : NA","Pelerins","LIA - Control","30-120 yrs",NA
"1151",192,"S2-14",31,24793005,8659357,"Band : 2","7/22/2020",949156.07,6457009.63,6.17223,45.16734,"Glacier de Saint-Sorlin",2693,"50-75% (60%)",NA,NA,NA,NA,"25-50% (40%)","10-25% (12%)","10-25% (12%)",NA,"10-25% (10%)","5-10% (6%)",NA,"Euphrasia minima Jacq. ex DC., 1805",97772,"Euphrasia minima Jacq. ex DC., 1805",97772,"Euphrasia minima","Euphrasia minima Jacq. ex DC., 1805","Orobanchaceae","+","1",NA,NA,NA,NA,"0",NA,"ROCVEG : S1-X ; Band : 1 ; Time :09:52 ; Soil crust : 0 ; Moss : NA ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Saint Sorlin","19-36 yrs","20-30 yrs",NA
"1152",192,"T28",24,33524718,10401893,"Band : 1985-2003","7/11/2019",1007648.48,6552228.19,6.9768333,46.00005,"Glacier du Tour",2391,"10-25% (10%)",NA,NA,NA,NA,">75% (90%)","10-25% (10%)","10-25% (13%)",NA,"<5% (2%)",NA,NA,"Agrostis rupestris All., 1785",80729,"Agrostis rupestris All., 1785",613160,"Agrostis rupestris var. rupestris","Agrostis rupestris var. rupestris All., 1785","Poaceae","x","5",NA,NA,NA,NA,"0",NA,"ROCVEG : T28 ; Band : 1985-2003 ; Time : NA ; Soil crust : 0% ; Moss : NA ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Tour","19-36 yrs","20-30 yrs",NA
"1153",193,"B2_07",11.5,34901032,10971335,"Band : B2","7/19/2019",968650.98,6432012.72,6.406418362,44.93515627,"Glacier Blanc",2462,NA,"<5% (0%)","<5% (0%)","10-25% (10%)","<5% (1%)",NA,"5-10% (8%)","25-50% (44%)",NA,"25-50% (30%)","<5% (0%)","<5% (0%)","Leucanthemopsis alpina",105765,"Leucanthemopsis alpina (L.) Heywood, 1975",105765,"Leucanthemopsis alpina","Leucanthemopsis alpina (L.) Heywood, 1975","Asteraceae","0,2",NA,NA,NA,NA,NA,NA,NA,"Mousses BSC : 1 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 8 ; Cailloux : 44 ; Graviers : 30 ; Sable : 0 ; Liti<e8>re : 0 ; Mousses humides : 0 ; Herbac<e9>es : 10 ; Ligneux tr<e8>s bas : 0 ; Ligneux bas : 0 ; D<e9>glaciation : 2007 ; Age : 12","Glacier Blanc","7-12 years","7-13 years",NA
"1154",193,"GB3-01",23.5,31232669,9373264,"Band : 1985-2003","7/30/2019",983755.548,6474617.865,6.622446004,45.31234323,"Glacier de G<e9>broulaz",2602,"10-25% (10%)",NA,NA,NA,NA,">75% (89%)","50-75% (58%)","25-50% (28%)",NA,"<5% (3%)",NA,NA,"Saxifraga aizoides L.",120965,"Saxifraga aizoides L., 1753",120965,"Saxifraga aizoides","Saxifraga aizoides L., 1753","Saxifragaceae","+","2",NA,NA,NA,NA,"0",NA,"ROCVEG : GB3-01 ; Band : 1985-2003 ; Time : 08:38 ; Soil crust : 1% ; Moss : 1% ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Gebroulaz","19-36 yrs","20-30 yrs",NA
"1155",193,"O36",33,36716629,12118025,"Band : 1985-2001","8/28/2020",1014931.95,6552590.78,7.07106,45.99997,"Glacier d'Orny",NA,"10-25% (10%)",NA,NA,NA,NA,">75% (87%)",">75% (75%)","5-10% (7%)",NA,"5-10% (5%)",NA,NA,"Minuartia verna (L.) Hiern, 1899",108621,"Minuartia verna (L.) Hiern, 1899",119754,"Sabulina verna","Sabulina verna (L.) Rchb., 1832","Caryophyllaceae","+",NA,NA,NA,NA,NA,"0",NA,"ROCVEG : O36 ; Band : 1985-2001 ; Time : 10:10 ; Soil crust : 3 ; Moss : 50 ; Cyanobact : 0 ; Lichen : 50 ; BSC : NA ; Photo number : NA","Orny","19-36 yrs","30-120 yrs",NA
"1156",193,"P22",109,33522287,10400936,"Band : 1985-2003","7/8/2019",1000846.21,6540578.27,6.88165,45.89832,"Glacier des P<e9>lerins",2180,"50-75% (55%)",NA,NA,NA,NA,"25-50% (38%)","10-25% (14%)","10-25% (14%)",NA,"5-10% (5%)","5-10% (5%)",NA,"Saxifraga bryoides L., 1753",120988,"Saxifraga bryoides L., 1753",120988,"Saxifraga bryoides","Saxifraga bryoides L., 1753","Saxifragaceae","0.1","1",NA,NA,NA,NA,NA,NA,"ROCVEG : P22 ; Band : 1985-2003 ; Time : NA ; Soil crust : 7% ; Moss : 7% ; Cyanobact : 0% ; Lichen : 0% ; BSC : NA ; Photo number : NA","Pelerins","LIA - Control","30-120 yrs",NA
"1157",193,"S2-14",31,24793004,8659357,"Band : 2","7/22/2020",949156.07,6457009.63,6.17223,45.16734,"Glacier de Saint-Sorlin",2693,"50-75% (60%)",NA,NA,NA,NA,"25-50% (40%)","10-25% (12%)","10-25% (12%)",NA,"10-25% (10%)","5-10% (6%)",NA,"Sagina saginoides (L.) H.Karst., 1882",119827,"Sagina saginoides (L.) H.Karst., 1882",119827,"Sagina saginoides","Sagina saginoides (L.) H.Karst., 1882","Caryophyllaceae","+","2",NA,NA,NA,NA,"1",NA,"ROCVEG : S1-X ; Band : 1 ; Time :09:52 ; Soil crust : 0 ; Moss : NA ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Saint Sorlin","19-36 yrs","20-30 yrs",NA
"1158",193,"T28",24,33524724,10401893,"Band : 1985-2003","7/11/2019",1007648.48,6552228.19,6.9768333,46.00005,"Glacier du Tour",2391,"10-25% (10%)",NA,NA,NA,NA,">75% (90%)","10-25% (10%)","10-25% (13%)",NA,"<5% (2%)",NA,NA,"Oxyria digyna (L.) Hill, 1768",111960,"Oxyria digyna (L.) Hill, 1768",111960,"Oxyria digyna","Oxyria digyna (L.) Hill, 1768","Polygonaceae","x","4",NA,NA,NA,NA,"1",NA,"ROCVEG : T28 ; Band : 1985-2003 ; Time : NA ; Soil crust : 0% ; Moss : NA ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Tour","19-36 yrs","20-30 yrs",NA
"1159",194,"B2_07",11.5,34901033,10971335,"Band : B2","7/19/2019",968650.98,6432012.72,6.406418362,44.93515627,"Glacier Blanc",2462,NA,"<5% (0%)","<5% (0%)","10-25% (10%)","<5% (1%)",NA,"5-10% (8%)","25-50% (44%)",NA,"25-50% (30%)","<5% (0%)","<5% (0%)","Linaria alpina",106144,"Linaria alpina (L.) Mill., 1768",106144,"Linaria alpina","Linaria alpina (L.) Mill., 1768","Plantaginaceae","0,2",NA,NA,NA,NA,NA,NA,NA,"Mousses BSC : 1 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 8 ; Cailloux : 44 ; Graviers : 30 ; Sable : 0 ; Liti<e8>re : 0 ; Mousses humides : 0 ; Herbac<e9>es : 10 ; Ligneux tr<e8>s bas : 0 ; Ligneux bas : 0 ; D<e9>glaciation : 2007 ; Age : 12","Glacier Blanc","7-12 years","7-13 years",NA
"1160",194,"GB3-01",23.5,31232668,9373264,"Band : 1985-2003","7/30/2019",983755.548,6474617.865,6.622446004,45.31234323,"Glacier de G<e9>broulaz",2602,"10-25% (10%)",NA,NA,NA,NA,">75% (89%)","50-75% (58%)","25-50% (28%)",NA,"<5% (3%)",NA,NA,"Salix laggeri Wimmer",120085,"Salix laggeri Wimm., 1854",120085,"Salix laggeri","Salix laggeri Wimm., 1854","Salicaceae","+","20",NA,NA,NA,NA,"0",NA,"ROCVEG : GB3-01 ; Band : 1985-2003 ; Time : 08:38 ; Soil crust : 1% ; Moss : 1% ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Gebroulaz","19-36 yrs","20-30 yrs",NA
"1161",194,"O36",33,36716628,12118025,"Band : 1985-2001","8/28/2020",1014931.95,6552590.78,7.07106,45.99997,"Glacier d'Orny",NA,"10-25% (10%)",NA,NA,NA,NA,">75% (87%)",">75% (75%)","5-10% (7%)",NA,"5-10% (5%)",NA,NA,"Arenaria verna L., 1767",83677,"Arenaria verna L., 1767",119754,"Sabulina verna","Sabulina verna (L.) Rchb., 1832","Caryophyllaceae","+",NA,NA,NA,NA,NA,"0",NA,"ROCVEG : O36 ; Band : 1985-2001 ; Time : 10:10 ; Soil crust : 3 ; Moss : 50 ; Cyanobact : 0 ; Lichen : 50 ; BSC : NA ; Photo number : NA","Orny","19-36 yrs","30-120 yrs",NA
