cdref7,CD_REF7,libcdref7,STRATEGIES_CSR,comment,SA_CSR,JVE_CSR
88637,88637,"Carex liparocarpos Gaudin, 1804",css,,css,css
88656,88656,"Carex mairei Coss. & Germ., 1840",crs,,crs,crs
88675,88675,"Carex microglochin Wahlenb., 1803",css,,css,css
88691,88691,"Carex montana L., 1753",ccs,,ccs,ccs
88693,88693,"Carex mucronata All., 1785",css,,css,css
88720,88720,"Carex nigra (L.) Reichard, 1778",css,,css,css
88720,88720,"Carex nigra (L.) Reichard, 1778",,,css,
88720,88720,"Carex nigra (L.) Reichard, 1778",,,css,
132776,132776,"Carex ornithopoda subsp. ornithopodioides (Hausm.) Nyman, 1882",css,,css,css
132775,132775,Carex ornithopoda Willd. subsp. ornithopoda,,,crs,
132775,132775,Carex ornithopoda Willd. subsp. ornithopoda,,,crs,
88737,88737,"Carex ornithopoda Willd., 1805",crs,,crs,crs
88742,88742,"Carex ovalis Gooden., 1794",crs,,crs,crs
88745,88745,"Carex pairae F.W.Schultz, 1868",ccs,,ccs,ccs
88747,88747,"Carex pallescens L., 1753",crs,,crs,crs
88752,88752,"Carex panicea L., 1753",css,,css,css
88753,88753,"Carex paniculata L., 1755",,,css,
88753,88753,"Carex paniculata L., 1755",css,,css,css
88756,88756,"Carex parviflora Host, 1801",crs,,crs,crs
88766,88766,"Carex pendula Huds., 1762",css,,css,css
88775,88775,"Carex pilulifera L., 1753",css,,css,css
88840,88840,"Carex rostrata Stokes, 1787",css,,css,css
88845,88845,"Carex rupestris All., 1785",css,,css,css
132810,132810,Carex sempervirens Vill. subsp. sempervirens,css,,css,css
132810,132810,Carex sempervirens Vill. subsp. sempervirens,,,css,
88885,88885,"Carex spicata Huds., 1762",ccs,,ccs,ccs
88905,88905,"Carex sylvatica Huds., 1762",crs,,crs,crs
88916,88916,"Carex tomentosa L., 1767",crs,,crs,crs
88949,88949,"Carex viridula Michx., 1803",,,css,
132839,132839,Carlina acanthifolia All. subsp. acanthifolia,,,crs,
132839,132839,Carlina acanthifolia All. subsp. acanthifolia,crs,,crs,crs
132843,132843,"Carlina acaulis subsp. caulescens (Lam.) Schübler & G.Martens, 1834",crs,,crs,crs
132843,132843,"Carlina acaulis subsp. caulescens (Lam.) Schübler & G.Martens, 1834",,,crs,
89200,89200,"Carpinus betulus L., 1753",ccc,,ccc,ccc
89232,89232,"Carthamus lanatus L., 1753",crr,,crr,crr
89250,89250,"Carum carvi L., 1753",ccr,,ccr,ccr
89304,89304,"Castanea sativa Mill., 1768",ccc,,ccc,ccc
89330,89330,"Catananche caerulea L., 1753",ccr,,ccr,ccr
89415,89415,"Caucalis platycarpos L., 1753",rrr,,rrr,rrr
161380,161380,Centaurea jacea L. subsp. jacea,crs,,crs,crs
89655,89655,"Centaurea nigrescens Willd., 1803",ccs,,ccs,ccs
132971,132971,Centaurea paniculata L. subsp. paniculata,crs,,crs,crs
133004,133004,Centaurea scabiosa L. subsp. scabiosa,,,ccs,
133004,133004,Centaurea scabiosa L. subsp. scabiosa,ccs,,ccs,ccs
89730,89730,"Centaurea uniflora Turra, 1765",,,ccs,
133028,133028,Centaurium erythraea Rafn subsp. erythraea,rrs,,rrs,rrs
89840,89840,"Centaurium erythraea Rafn, 1800",,,rrs,
89852,89852,"Centaurium pulchellum (Sw.) Druce, 1898",,,rrs,
89852,89852,"Centaurium pulchellum (Sw.) Druce, 1898",rrs,,rrs,rrs
89880,89880,"Centranthus angustifolius (Mill.) DC., 1805",crs,,crs,crs
89888,89888,"Centranthus ruber (L.) DC., 1805",crs,,crs,crs
89920,89920,"Cephalanthera damasonium (Mill.) Druce, 1906",crs,,crs,crs
89926,89926,"Cephalanthera longifolia (L.) Fritsch, 1888",crs,,crs,crs
89928,89928,"Cephalanthera rubra (L.) Rich., 1817",crs,,crs,crs
89940,89940,"Cephalaria leucantha (L.) Schrad. ex Roem. & Schult., 1818",ccs,,ccs,ccs
89968,89968,"Cerastium arvense L., 1753",,,crs,
133087,133087,"Cerastium arvense subsp. strictum (W.D.J.Koch) Gremli, 1878",crs,,crs,crs
133087,133087,"Cerastium arvense subsp. strictum (W.D.J.Koch) Gremli, 1878",ccs,,ccs,ccs
133088,133088,"Cerastium arvense subsp. suffruticosum (L.) Ces., 1844",css,,css,css
133089,133089,Cerastium brachypetalum Desp. ex Pers. subsp. brachypetalum,,,rrr,
89979,89979,"Cerastium brachypetalum Desp. ex Pers., 1805",,,rrr,
89986,89986,"Cerastium cerastoides (L.) Britton, 1894",css,,css,css
133103,133103,"Cerastium fontanum subsp. lucorum (Schur) Soó, 1970",,,crs,
133108,133108,"Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet, 1982",crs,,crs,crs
133108,133108,"Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet, 1982",crs,,crs,crs
90042,90042,"Cerastium latifolium L., 1753",crs,,crs,crs
90071,90071,"Cerastium pedunculatum Gaudin, 1828",crs,,crs,crs
90076,90076,"Cerastium pumilum Curtis, 1777",rrr,,rrr,rrr
90076,90076,"Cerastium pumilum Curtis, 1777",rrr,,rrr,rrr
90091,90091,"Cerastium semidecandrum L., 1753",rrr,,rrr,rrr
133181,133181,"Cerinthe minor subsp. auriculata (Ten.) Rouy, 1927",,,rrs,
133181,133181,"Cerinthe minor subsp. auriculata (Ten.) Rouy, 1927",rrs,,rrs,rrs
133181,133181,"Cerinthe minor subsp. auriculata (Ten.) Rouy, 1927",rrs,,rrs,rrs
90278,90278,"Cervaria rivini Gaertn., 1788",ccs,,ccs,ccs
90316,90316,"Chaenorrhinum minus (L.) Lange, 1870",rrs,,rrs,rrs
90316,90316,"Chaenorrhinum minus (L.) Lange, 1870",,,rrs,
90328,90328,"Chaerophyllum aureum L., 1762",ccc,,ccc,ccc
90335,90335,"Chaerophyllum elegans Gaudin, 1828",ccs,,ccs,ccs
90338,90338,"Chaerophyllum hirsutum L., 1753",ccs,,ccs,ccs
90359,90359,"Chaerophyllum villarsii W.D.J.Koch, 1837",ccs,,ccs,ccs
90561,90561,"Chamorchis alpina (L.) Rich., 1817",css,,css,css
90669,90669,"Chelidonium majus L., 1753",ccr,,ccr,ccr
133219,133219,Chenopodium album L. subsp. album,rrr,,rrr,rrr
133219,133219,Chenopodium album L. subsp. album,,,rrr,
90954,90954,"Chondrilla juncea L., 1753",css,,css,css
91169,91169,"Cichorium intybus L., 1753",crs,,crs,crs
91169,91169,"Cichorium intybus L., 1753",,,crs,
5847,5847,Cirriphyllum crassinervium (Taylor) Loeske & M.Fleisch.,,,,
91289,91289,"Cirsium arvense (L.) Scop., 1772",ccr,,ccr,ccr
91327,91327,"Cirsium eriophorum (L.) Scop., 1772",ccs,,ccs,ccs
91328,91328,"Cirsium erisithales (Jacq.) Scop., 1769",ccs,,ccs,ccs
91346,91346,"Cirsium heterophyllum (L.) Hill, 1768",ccs,,ccs,ccs
91369,91369,"Cirsium monspessulanum (L.) Hill, 1768",,,ccs,
91369,91369,"Cirsium monspessulanum (L.) Hill, 1768",ccs,,ccs,ccs
91374,91374,"Cirsium morisianum Rchb.f., 1853",ccs,,ccs,ccs
91410,91410,"Cirsium spinosissimum (L.) Scop., 1769",ccs,,ccs,ccs
91422,91422,"Cirsium tuberosum (L.) All., 1785",ccs,,ccs,ccs
133346,133346,Cirsium vulgare (Savi) Ten. subsp. vulgare,crr,,crr,crr
133346,133346,Cirsium vulgare (Savi) Ten. subsp. vulgare,,,crr,
91715,91715,"Cistus salviifolius L., 1753",ccs,,ccs,ccs
91853,91853,"Clematis alpina (L.) Mill., 1768",ccs,,ccs,ccs
91886,91886,"Clematis vitalba L., 1753",ccc,,ccc,ccc
5093,5093,Climacium dendroides (Hedw.) F.Weber & D.Mohr,,,,
91912,91912,"Clinopodium vulgare L., 1753",ccs,,ccs,ccs
92107,92107,"Coincya richeri (Vill.) Greuter & Burdet, 1983",css,,css,css
92124,92124,"Colchicum alpinum DC., 1805",crs,,crs,crs
92127,92127,"Colchicum autumnale L., 1753",crs,,crs,crs
6163,6163,Conocephalum conicum (L.) Dumort.,,,,
92242,92242,"Conopodium majus (Gouan) Loret, 1886",rss,,rss,rss
92282,92282,"Convallaria majalis L., 1753",ccs,,ccs,ccs
92302,92302,"Convolvulus arvensis L., 1753",crr,,crr,crr
92308,92308,"Convolvulus cantabrica L., 1753",crs,,crs,crs
92467,92467,"Coriaria myrtifolia L., 1753",ccc,,ccc,ccc
92486,92486,"Coristospermum ferulaceum (All.) Reduron, Charpin & Pimenov, 1997",ccs,,ccs,ccs
92497,92497,"Cornus mas L., 1753",ccc,,ccc,ccc
92501,92501,"Cornus sanguinea L., 1753",ccc,,ccc,ccc
133436,133436,Coronilla minima L. subsp. minima,,,css,
133436,133436,Coronilla minima L. subsp. minima,css,,css,css
92606,92606,"Corylus avellana L., 1753",ccc,,ccc,ccc
92631,92631,"Cotinus coggygria Scop., 1771",ccc,,ccc,ccc
92651,92651,"Cotoneaster delphinensis Châtenier, 1923",ccc,,ccc,ccc
92667,92667,"Cotoneaster integerrimus Medik., 1793",ccc,,ccc,ccc
92667,92667,"Cotoneaster integerrimus Medik., 1793",,,ccc,
92698,92698,"Cotoneaster pyrenaicus Gand., 1875",,,ccc,
92710,92710,"Cotoneaster tomentosus Lindl., 1822",ccc,,ccc,ccc
92715,92715,"Cotoneaster x intermedius (Lecoq & Lamotte) H.J.Coste, 1923",ccc,,ccc,ccc
92876,92876,"Crataegus monogyna Jacq., 1775",,,ccs,
92876,92876,"Crataegus monogyna Jacq., 1775",ccs,,ccs,ccs
5502,5502,Cratoneuron filicinum (Hedw.) Spruce,,,,
92996,92996,"Crepis albida Vill., 1779",ccs,,ccs,ccs
93015,93015,"Crepis biennis L., 1753",ccr,,ccr,ccr
93027,93027,"Crepis conyzifolia (Gouan) A.Kern., 1872",ccs,,ccs,ccs
93045,93045,"Crepis foetida L., 1753",crr,,crr,crr
93097,93097,"Crepis nicaeensis Balb., 1807",crr,,crr,crr
93101,93101,"Crepis paludosa (L.) Moench, 1794",ccs,,ccs,ccs
93114,93114,"Crepis pulchra L., 1753",rrr,,rrr,rrr
93115,93115,"Crepis pygmaea L., 1753",css,,css,css
93116,93116,"Crepis pyrenaica (L.) Greuter, 1970",ccs,,ccs,ccs
93129,93129,"Crepis sancta (L.) Bornm., 1913",,,rrr,
93129,93129,"Crepis sancta (L.) Bornm., 1913",rrr,,rrr,rrr
133531,133531,"Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell. ex Schinz & R.Keller, 1914",crr,,crr,crr
133531,133531,"Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell. ex Schinz & R.Keller, 1914",crr,,crr,crr
93284,93284,"Crocus versicolor Ker Gawl., 1808",css,,css,css
93295,93295,"Crucianella angustifolia L., 1753",rrr,,rrr,rrr
93297,93297,"Crucianella latifolia L., 1753",rrr,,rrr,rrr
93307,93307,"Cruciata glabra (L.) Ehrend., 1958",crs,,crs,crs
93308,93308,"Cruciata laevipes Opiz, 1852",ccr,,ccr,ccr
93309,93309,"Cruciata pedemontana (Bellardi) Ehrend., 1958",rrs,,rrs,rrs
93449,93449,"Crupina vulgaris Cass., 1817",rrr,,rrr,rrr
93469,93469,"Cryptogramma crispa (L.) R.Br., 1842",crs,,crs,crs
5998,5998,Ctenidium molluscum (Hedw.) Mitt.,,,,
93621,93621,"Cuscuta epithymum (L.) L., 1774",,,rss,
93623,93623,"Cuscuta europaea L., 1753",rss,,rss,rss
93830,93830,"Cynoglossum germanicum Jacq., 1767",ccr,,ccr,ccr
93840,93840,"Cynoglossum officinale L., 1753",ccr,,ccr,ccr
93860,93860,"Cynosurus cristatus L., 1753",crs,,crs,crs
93864,93864,"Cynosurus echinatus L., 1753",rrr,,rrr,rrr
94066,94066,"Cystopteris fragilis (L.) Bernh., 1805",rss,,rss,rss
94066,94066,"Cystopteris fragilis (L.) Bernh., 1805",,,rss,
94066,94066,"Cystopteris fragilis (L.) Bernh., 1805",,,rss,
94092,94092,"Cytisophyllum sessilifolium (L.) O.Lang, 1843",ccs,,ccs,ccs
94123,94123,"Cytisus hirsutus L., 1753",,,ccs,
94123,94123,"Cytisus hirsutus L., 1753",ccs,,ccs,ccs
94153,94153,"Cytisus polytrichus M.Bieb., 1819",,ccs,ccs,
94174,94174,"Cytisus triflorus Lam., 1786",,ccs,ccs,
133652,133652,Dactylis glomerata L. subsp. glomerata,,,crs,
94207,94207,"Dactylis glomerata L., 1753",crs,,crs,crs
133654,133654,"Dactylis glomerata subsp. hispanica (Roth) Nyman, 1882",crs,,crs,crs
94257,94257,"Dactylorhiza fuchsii (Druce) Soó, 1962",,,crs,
94257,94257,"Dactylorhiza fuchsii (Druce) Soó, 1962",crs,,crs,crs
133675,133675,Dactylorhiza incarnata (L.) Soó subsp. incarnata,,,crs,
133675,133675,Dactylorhiza incarnata (L.) Soó subsp. incarnata,,,crs,
94266,94266,"Dactylorhiza maculata (L.) Soó, 1962",crs,,crs,crs
94266,94266,"Dactylorhiza maculata (L.) Soó, 1962",,,crs,
94267,94267,"Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh., 1965",crs,,crs,crs
94287,94287,"Dactylorhiza traunsteineri (Saut.) Soó, 1962",crs,,crs,crs
94288,94288,"Dactylorhiza traunsteinerioides (Pugsley) Landwehr, 1975",,,crs,
94411,94411,"Daphne alpina L., 1753",ccs,,ccs,ccs
94423,94423,"Daphne cneorum L., 1753",ccs,,ccs,ccs
94432,94432,"Daphne laureola L., 1753",,,ccs,
94432,94432,"Daphne laureola L., 1753",ccs,,ccs,ccs
94435,94435,"Daphne mezereum L., 1753",ccs,,ccs,ccs
94449,94449,"Daphne striata Tratt., 1814",ccs,,ccs,ccs
133731,133731,Daucus carota L. subsp. carota,,,rss,
94503,94503,"Daucus carota L., 1753",,,rss,
94578,94578,"Delphinium dubium (Rouy & Foucaud) Pawl., 1934",ccs,,ccs,ccs
133787,133787,Deschampsia cespitosa (L.) P.Beauv. subsp. cespitosa,,,css,
94645,94645,"Descurainia sophia (L.) Webb ex Prantl, 1891",crr,,crr,crr
94728,94728,"Dianthus deltoides L., 1753",crs,,crs,crs
94743,94743,"Dianthus furcatus Balb., 1804",crs,,crs,crs
94765,94765,"Dianthus hyssopifolius L., 1755",,,crs,
94765,94765,"Dianthus hyssopifolius L., 1755",crs,,crs,crs
94793,94793,"Dianthus pavonius Tausch, 1839",crs,,crs,crs
94820,94820,"Dianthus scaber Chaix, 1785",,,crs,
94820,94820,"Dianthus scaber Chaix, 1785",crs,,crs,crs
133873,133873,"Dianthus seguieri subsp. requienii (Godr.) Bernal, Laínz & Muñoz Garm., 1987",,,crs,
133874,133874,Dianthus seguieri Vill. subsp. seguieri,,,crs,
133874,133874,Dianthus seguieri Vill. subsp. seguieri,crs,,crs,crs
4754,4754,Dicranum scoparium Hedw.,,,,
4784,4784,Dicranum tauricum Sapjegin,,,,
94942,94942,"Digitalis grandiflora Mill., 1768",ccs,,ccs,ccs
94945,94945,"Digitalis lutea L., 1753",,crs,crs,
95149,95149,"Dipsacus fullonum L., 1753",crr,,crr,crr
95209,95209,"Doronicum austriacum Jacq., 1774",ccs,,ccs,ccs
95215,95215,"Doronicum clusii (All.) Tausch, 1828",ccs,,ccs,ccs
95225,95225,"Doronicum grandiflorum Lam., 1786",ccs,,ccs,ccs
95239,95239,"Doronicum pardalianches L., 1753",ccs,,ccs,ccs
95289,95289,"Draba aizoides L., 1767",css,,css,css
95312,95312,"Draba dubia Suter, 1807",css,,css,css
95313,95313,"Draba fladnizensis Wulfen, 1779",css,,css,css
95337,95337,"Draba muralis L., 1753",rrr,,rrr,rrr
95340,95340,"Draba nemorosa L., 1753",rrr,,rrr,rrr
95356,95356,"Draba siliquosa M.Bieb., 1808",css,,css,css
95398,95398,"Dracocephalum austriacum L., 1753",css,,css,css
95442,95442,"Drosera rotundifolia L., 1753",sss,,sss,sss
95461,95461,"Dryas octopetala L., 1753",crs,,crs,crs
95558,95558,"Dryopteris carthusiana (Vill.) H.P.Fuchs, 1959",ccs,,ccs,ccs
95563,95563,"Dryopteris dilatata (Hoffm.) A.Gray, 1848",ccs,,ccs,ccs
95567,95567,"Dryopteris filix-mas (L.) Schott, 1834",ccs,,ccs,ccs
95602,95602,"Dryopteris villarii (Bellardi) Woyn. ex Schinz & Thell., 1915",css,,css,css
95709,95709,"Echinops ritro L., 1753",ccs,,ccs,ccs
95713,95713,"Echinops sphaerocephalus L., 1753",ccs,,ccs,ccs
95793,95793,"Echium vulgare L., 1753",,,crr,
95793,95793,"Echium vulgare L., 1753",,,crr,
95793,95793,"Echium vulgare L., 1753",crr,,crr,crr
134060,134060,Eleocharis palustris (L.) Roem. & Schult. subsp. palustris,,,crs,
95922,95922,"Eleocharis palustris (L.) Roem. & Schult., 1817",crs,,crs,crs
612462,612462,"Eleocharis palustris subsp. waltersii Bures & Danihelka, 2008",,,crs,
95927,95927,"Eleocharis quinqueflora (Hartmann) O.Schwarz, 1949",css,,css,css
96029,96029,"Elytrigia campestris (Godr. & Gren.) Kerguélen ex Carreras, 1986",,ccr,ccr,
96034,96034,"Elytrigia intermedia (Host) Nevski, 1933",ccs,ccr,ccs,ccs
96046,96046,"Elytrigia repens (L.) Desv. ex Nevski, 1934",ccs,ccr,ccs,ccs
96046,96046,"Elytrigia repens (L.) Desv. ex Nevski, 1934",,ccr,css,
134095,134095,"Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher, 1952",css,,css,css
134095,134095,"Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher, 1952",css,,css,css
4851,4851,Encalypta streptocarpa Hedw.,,,,
96127,96127,"Epilobium alpestre (Jacq.) Krock., 1787",ccs,,ccs,ccs
96130,96130,"Epilobium alsinifolium Vill., 1779",ccs,,ccs,ccs
96134,96134,"Epilobium anagallidifolium Lam., 1786",css,,css,css
96136,96136,"Epilobium angustifolium L., 1753",ccr,,ccr,ccr
96150,96150,"Epilobium collinum C.C.Gmel., 1826",crs,,crs,crs
134114,134114,"Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923",crs,,crs,crs
134113,134113,Epilobium dodonaei Vill. subsp. dodonaei,crs,,crs,crs
134113,134113,Epilobium dodonaei Vill. subsp. dodonaei,,,crs,
96165,96165,"Epilobium duriaei J.Gay ex Godr., 1849",crs,,crs,crs
96180,96180,"Epilobium hirsutum L., 1753",ccc,,ccc,ccc
96208,96208,"Epilobium montanum L., 1753",crs,,crs,crs
96218,96218,"Epilobium nutans F.W.Schmidt, 1794",crs,,crs,crs
96226,96226,"Epilobium palustre L., 1753",crs,,crs,crs
96229,96229,"Epilobium parviflorum Schreb., 1771",crs,,crs,crs
96432,96432,"Epipactis atrorubens (Hoffm.) Besser, 1809",crs,,crs,crs
134141,134141,Epipactis helleborine (L.) Crantz subsp. helleborine,,,crs,
134141,134141,Epipactis helleborine (L.) Crantz subsp. helleborine,crs,,crs,crs
96454,96454,"Epipactis microphylla (Ehrh.) Sw., 1800",crs,,crs,crs
96456,96456,"Epipactis muelleri Godfery, 1921",crs,,crs,crs
96465,96465,"Epipactis palustris (L.) Crantz, 1769",crs,,crs,crs
96499,96499,"Epipogium aphyllum Sw., 1814",sss,,sss,sss
96508,96508,"Equisetum arvense L., 1753",ccr,,ccr,ccr
96508,96508,"Equisetum arvense L., 1753",crs,,crs,crs
96519,96519,"Equisetum fluviatile L., 1753",crs,,crs,crs
96523,96523,"Equisetum hyemale L., 1753",ccs,,ccs,ccs
96534,96534,"Equisetum palustre L., 1753",ccs,,ccs,ccs
96539,96539,"Equisetum ramosissimum Desf., 1799",crs,,crs,crs
96546,96546,"Equisetum telmateia Ehrh., 1783",crs,,crs,crs
96553,96553,"Equisetum variegatum Schleich., 1797",crs,,crs,crs
96659,96659,"Erica arborea L., 1753",ccc,,ccc,ccc
96736,96736,"Erigeron alpinus L., 1753",css,,css,css
96739,96739,"Erigeron annuus (L.) Desf., 1804",,,ccr,
96742,96742,"Erigeron atticus Vill., 1788",crs,,crs,crs
96761,96761,"Erigeron glabratus Hoppe & Hornsch. ex Bluff & Fingerh., 1825",css,,css,css
96775,96775,"Erigeron karvinskianus DC., 1836",rss,,rss,rss
96790,96790,"Erigeron neglectus A.Kern., 1871",css,,css,css
96816,96816,"Erigeron uniflorus L., 1753",css,,css,css
96834,96834,"Erinus alpinus L., 1753",css,,css,css
96844,96844,"Eriophorum angustifolium Honck., 1782",css,,css,css
96852,96852,"Eriophorum latifolium Hoppe, 1800",css,,css,css
96859,96859,"Eriophorum scheuchzeri Hoppe, 1800",css,,css,css
96861,96861,"Eriophorum vaginatum L., 1753",css,,css,css
96872,96872,"Eritrichium nanum (L.) Schrad. ex Gaudin, 1828",css,,css,css
96894,96894,"Erodium ciconium (L.) L'Hér., 1789",crr,,crr,crr
134238,134238,Erodium cicutarium (L.) L'Her. subsp. cicutarium,rrr,,rrr,rrr
134238,134238,Erodium cicutarium (L.) L'Her. subsp. cicutarium,,,rrr,
134287,134287,Erucastrum nasturtiifolium (Poir.) O.E.Schulz subsp. nasturtiifolium,,,crs,
134287,134287,Erucastrum nasturtiifolium (Poir.) O.E.Schulz subsp. nasturtiifolium,crs,,crs,crs
97133,97133,"Eryngium alpinum L., 1753",ccs,,ccs,ccs
97141,97141,"Eryngium campestre L., 1753",ccs,,ccs,ccs
97148,97148,"Eryngium spinalba Vill., 1779",crs,,crs,crs
97222,97222,"Erysimum jugicola Jord., 1864",crs,,crs,crs
97222,97222,"Erysimum jugicola Jord., 1864",crs,,crs,crs
97230,97230,"Erysimum montosicola Jord., 1858",crs,,crs,crs
159654,159654,"Erysimum nevadense Reut., 1855",crs,,crs,crs
159654,159654,"Erysimum nevadense Reut., 1855",,,crs,
97234,97234,"Erysimum ochroleucum (Schleich.) DC., 1805",crs,,crs,crs
97234,97234,"Erysimum ochroleucum (Schleich.) DC., 1805",,,crs,
97258,97258,"Erysimum rhaeticum (Schleich. ex Hornem.) DC., 1821",crs,,crs,crs
97277,97277,"Erysimum virgatum Roth, 1797",crs,,crs,crs
5322,5322,Eucladium verticillatum (With.) Bruch & Schimp.,,,,
134346,134346,Eupatorium cannabinum L. subsp. cannabinum,,,ccr,
134346,134346,Eupatorium cannabinum L. subsp. cannabinum,ccr,,ccr,ccr
97490,97490,"Euphorbia cyparissias L., 1753",crs,,crs,crs
134362,134362,"Euphorbia dulcis subsp. incompta (Ces.) Nyman, 1890",crs,,crs,crs
97537,97537,"Euphorbia helioscopia L., 1753",rrr,,rrr,rrr
97591,97591,"Euphorbia nicaeensis All., 1785",crs,,crs,crs
97667,97667,"Euphorbia serrata L., 1753",crs,,crs,crs
97673,97673,"Euphorbia spinosa L., 1753",ccs,,ccs,ccs
97676,97676,"Euphorbia stricta L., 1759",crs,,crs,crs
97685,97685,"Euphorbia taurinensis All., 1785",rrr,,rrr,rrr
97725,97725,"Euphrasia alpina Lam., 1786",rrs,,rrs,rrs
97759,97759,"Euphrasia hirtella Jord. ex Reut., 1856",rrs,,rrs,rrs
97772,97772,"Euphrasia minima Jacq. ex DC., 1805",rrs,,rrs,rrs
97772,97772,"Euphrasia minima Jacq. ex DC., 1805",,,rrs,
97781,97781,"Euphrasia officinalis L., 1753",rrs,,rrs,rrs
97784,97784,"Euphrasia pectinata Ten., 1815",rrs,,rrs,rrs
97804,97804,"Euphrasia salisburgensis Funck, 1794",rrs,,rrs,rrs
97811,97811,"Euphrasia stricta D.Wolff ex J.F.Lehm., 1809",rrs,,rrs,rrs
5873,5873,Eurhynchium striatum (Hedw.) Schimp.,,,,
97947,97947,"Fagus sylvatica L., 1753",ccc,,ccc,ccc
97962,97962,"Fallopia convolvulus (L.) Á.Löve, 1970",,,crr,
97962,97962,"Fallopia convolvulus (L.) Á.Löve, 1970",,,crr,
97962,97962,"Fallopia convolvulus (L.) Á.Löve, 1970",crr,,crr,crr
98039,98039,"Festuca acuminata Gaudin, 1811",ccs,,ccs,ccs
98039,98039,"Festuca acuminata Gaudin, 1811",ccs,,ccs,ccs
98054,98054,"Festuca alpina Suter, 1802",ccs,,ccs,ccs
98054,98054,"Festuca alpina Suter, 1802",,,ccs,
98147,98147,"Festuca cinerea Vill., 1786",css,,css,css
98179,98179,"Festuca degenii (St.-Yves) Markgr.-Dann., 1978",,,css,
98232,98232,"Festuca flavescens Bellardi, 1792",ccs,,ccs,ccs
98258,98258,"Festuca glauca Vill., 1787",,erreur,ccs,
134532,134532,Festuca halleri All. subsp. halleri,ccs,,ccs,ccs
98280,98280,"Festuca heterophylla Lam., 1779",crs,,crs,crs
98319,98319,"Festuca laevigata Gaudin, 1808",css,,css,css
134555,134555,Festuca marginata (Hack.) K.Richt. subsp. marginata,,,css,
134555,134555,Festuca marginata (Hack.) K.Richt. subsp. marginata,,,css,
134555,134555,Festuca marginata (Hack.) K.Richt. subsp. marginata,css,,css,css
98370,98370,"Festuca melanopsis Foggi, Gr.Rossi & M.A.Signorini",ccs,,ccs,ccs
98370,98370,"Festuca melanopsis Foggi, Gr.Rossi & M.A.Signorini",,,ccs,
98404,98404,"Festuca nigrescens Lam., 1788",crs,,crs,crs
98404,98404,"Festuca nigrescens Lam., 1788",,,crs,
98404,98404,"Festuca nigrescens Lam., 1788",,,crs,
98415,98415,"Festuca occitanica (Litard.) Auquier & Kerguélen, 1975",,ccs comme cinerea,ccs,
98425,98425,"Festuca ovina L., 1753",css,,css,css
134631,134631,Festuca rubra L. subsp. rubra,crs,,crs,crs
98512,98512,"Festuca rubra L., 1753",,,crs,
98527,98527,"Festuca scabriculmis (Hack.) K.Richt., 1890",ccs,,ccs,ccs
98586,98586,"Festuca trichophylla (Ducros ex Gaudin) K.Richt., 1890",,,crs,
98596,98596,"Festuca valesiaca Schleich. ex Gaudin, 1811",ccs,,ccs,ccs
98607,98607,"Festuca violacea Schleich. ex Gaudin, 1808",,,ccs,
98653,98653,"Ficus carica L., 1753",ccc,,ccc,ccc
98653,98653,"Ficus carica L., 1753",,,ccc,
98687,98687,"Filago lutescens Jord., 1846",rrs,,rrs,rrs
98699,98699,"Filago pyramidata L., 1753",rrs,,rrs,rrs
98717,98717,"Filipendula ulmaria (L.) Maxim., 1879",ccs,,ccs,ccs
98717,98717,"Filipendula ulmaria (L.) Maxim., 1879",,,ccs,
98718,98718,"Filipendula vulgaris Moench, 1794",crs,,crs,crs
134694,134694,"Foeniculum vulgare subsp. piperitum (Ucria) Bég., 1907",,,,
98787,98787,"Fourraea alpina (L.) Greuter & Burdet, 1984",rss,,rss,rss
98830,98830,"Fragaria moschata Weston, 1771",crs,,crs,crs
98865,98865,"Fragaria vesca L., 1753",crs,,crs,crs
98910,98910,"Fraxinus angustifolia Vahl, 1804",ccc,,ccc,ccc
98910,98910,"Fraxinus angustifolia Vahl, 1804",,,ccc,
98910,98910,"Fraxinus angustifolia Vahl, 1804",,,ccc,
98921,98921,"Fraxinus excelsior L., 1753",ccc,,ccc,ccc
98933,98933,"Fraxinus ornus L., 1753",ccc,,ccc,ccc
98972,98972,"Fritillaria involucrata All., 1789",crs,,crs,crs
6677,6677,Frullania dilatata (L.) Dumort.,,,,
99022,99022,"Fumana laevipes (L.) Spach, 1836",,crs ?,crs,
99028,99028,"Fumana procumbens (Dunal) Gren. & Godr., 1847",crs,,crs,crs
99111,99111,"Fumaria parviflora Lam., 1788",rrr,,rrr,rrr
99180,99180,"Gagea fragifera (Vill.) E.Bayer & G.López, 1989",crs,,crs,crs
99305,99305,"Galeopsis ladanum L., 1753",rrr,,rrr,rrr
99326,99326,"Galeopsis reuteri Rchb.f., 1858",rrr,,rrr,rrr
99372,99372,"Galium anisophyllon Vill., 1779",ccs,,ccs,ccs
99373,99373,"Galium aparine L., 1753",crr,,crr,crr
